9x20	426	1:2:3:3:1,1:1,1:1,1:2:3:2,1:2,3:2,2,2:2,2,2:2,1,2:2,1,2:2,1,2:5:1:1:2-5:7:2,2:1,2,1,1:20:3,1,1,1:5,2,2:5:3
10x20	528	6:2,2:1,1:2,2:1,1:1,1:10:2,1,1,3:1,3,4:1,1,4:2,5:1,1,4:3,2:6:6:4:4:2:2:2-6:3,2,3:2,1,1,1,3:1,4,6:1,1,1,1,8:1,2,3,7:1,1,9:2,9:3,6:6
10x20	1344	3:7:7:9:4,4:9:7:7:1,3:2,1:3,1:5,1:4,3:3,4:1,4:5:4:3:1:3-3,4:7,4:7,4:9,3,1:4,15:9,3,1:7,5:7,5:3,4:4
20x11	Sphinx	1,1:6:1,2,1:3,6:7,4:15:3,12:1,4,7:1,5,7:2:3-3:1,1:2,1:1,1:3,1:5,1:5:6:4,1:4,1:4:4:3:4,4:1,6:8:5,2:1,2,1:4,1:1
20x11	Bunnies	1,2,2:1,5:4,3,1:1,1,1,1:3,3:2,2:5,1,6,1:3,9:3,7:1,4,3,4:6,4-1:1,1:1,5:11:1,7:2,1,2:2,1,1:3:3:3:2,2,1:1,1,1:8:1,3:1,3,1:5:5:5:3:1
25x10	42	1,1:2,2:3,3:4,15,4:25:25:4,15,4:3,3:2,2:1,1-10:8:6:4:2:4:4:4:4:4:4:4:4:4:4:4:4:4:4:4:2:4:6:8:10
21x13	1974	15:18:1,5,7:1,5,7:1,3,5:8,5:9,5:11,7:4,5,2,3:3,2,8,2,2:2,1,1,6,1,1,1:1,1,2,6,1,2,1:2,2-5:7:7:2,4,2:1,3,1,1:1,3,1,2:9,2:10:12:4,5:4,5:2,3:2,3:2,3:4,3:4,2,2:8,1,1:8,1,2:9,2:10:12
20x15	Steamship	1,2,5:1,7,2:1,1,1,1,1,2,1:3,1,1:1,8:5,1,1:1,3,1,1,1,1,2:1,1,1,1,1,1:1,12:1,1:1,1:17:1,1:2,1:14-3:1,1,2:1,1,2:6,1,3:1,1,1,2:1,1,1,1:1,1,1:4,1,1:1,1,1,1:3,1,1,1,1:1,1,1,1,1:4,1,1,1,1:2,1,1,1,1:3,1,3,1,1:2,1,1,1,1:2,4,1,1:2,1,1,1:1,3,1,2:2,1,1,2:3,3
20x15	Peacock	1,2,2:2,1,2,1,1,1,1,1:1,3,2,3,1:4,2,4,2:1,2,2,1,1,3:4,1,1,3,2,2:1,1,2,4,4:2,3,1,1,3,2:1,2,1,7,2:2,1,4,6:4,1,1,1,3:5,1,3:9:2,2:1,2,2-2,2:1,1,1,1:6:3,1,2:1,3,2,2:1,5,1:3,5:1,5,2:2,1,4,1:2,2,4:9,2:1,2,1,2,1,1:2,2,2,2:2,1,3:1,3,2,1:2,3,2:1,1,1,2,4:5,4,1:1,1,7:5
30x10	434	6,2:1,1,3:6,1,1,2:6,4,1,12:17,2:2,2:26:1,25:26:1-3:6,1:1,7:1,3,3:1,3,3:1,3,3:5,3:1,3:1,3:2,3:3,3:2,3:2,3:1,3:1,3:1,3:2,3:3,1,3:2,1,3:3,3:2,3:1,3:1,3:1,3:1,3:1,3:1,2:1,2:3:2
20x15	570	2:1,8:2,5:5,7:8,7:6,2,2,2:3,2,1:2,4,9,1:2,8,2:1,1,7:1,2,10:4,12:3,2,4,4:2,2,2:1,2,3-1,3,4,3:4,2,3:1,5,3,1:2,9,2:1,6,3:1,2,4,1,1:1,1,5,2:1,2,7:3,1,5:5,6:4,7:6,3:4,1,2:2,1,2:1,1,2:1,1,2:1,1,2:1,1,2:1,1,1:2
20x15	582	1,1,1,1,1,3:3,3,7:2,2,1,1,1,2:3,1,2:4:1,4:14:3,11:2,12:10,1:9:2,2:1,2,2,1:2,1,2,1,2,1,1:6,2,3,2,3-2:2,3:2,4,1:5,3,2:5,1:7,1:2,6:2,10:9:5:5,1:5,1:1,5,2:1,5:3,9:1,1,9:3,2:2,1,2,2:4,1:2,3
20x15	608	6,5:5,2,4:4,2,4:3,8,3:3,6,3:3,2,2:3,2,2:2,7,1:2,4,2,1:2,3,2,1:2,2,2,1:3,2,2,2:3,2,3,2:4,3,3,2:5,7,3-15:15:7,4:3,2:2,1:1,1:2:2:14:14:2,3,2:2,2,1:1,1,1:1,2:2,3:1,6:3,4:5,1:7,4:15
20x15	1016	2,2,10:2,7,1,2:5,1,1,3:3,2,1,1,1,5:2,1,1,2,4:2,1,1,1,1,2,2,2:1,1,1,2,3,4:2,4,1,1:4,2,6:3,4,3:6,1,1,3,1:2,1,4,3:5,1,1,1,4:2,1,4,3:2,1,1,4-1,2:1,1,1,1:1,2,1,1,1:1,1,3,1,1,1:1,2,1,2:6,1,1,3:2,1,2:6,7:2,4:3,3,4:2:4,1,3,1,1:1,10:1,2,2,1,1,2:1,2,10:6,1,1,1,1:1,3,5,3:1,4,2,3:2,8,1:2,1,1,1
20x15	Gardener	3,4:5,2,2:1,3,5:1,1,1,1,1,2,1:6,2,2,2,1:1,1,1,1,1,1:6,1,1,1:1,1,1,1,1,1,1:1,1,1,1,2,1:4,1,4:9,5:1,4,2,3:1,2,2,3:2,3:1,3,2-5:1,1:5,1,1,1:1,1,2:5,1:1,1,2:3:5:3,4:2,1,1,2:3,1,2,2:4,1,1,1:2,1,1,5:1,7:1,2:3,7:5,6:1,1,1,4:4,4,2:3,1
20x15	1118	3,3:3,3:4,13:5,13:2,2,2,2,2:1,2,1,2,2:2,2:2,6:2,2,2,2:2,2,2,2:2,2:2,1,2:2,2,2:2,4:2,3-3:3:3:15:15:1:3:3:3,1:4,2,2:4,2,2:1,2,1,2:13:13:2,1:2,1,2:4,2:3,1:2:1
20x15	1148	2,1,1,1:2,1,3,3:2,3,2,2:2,1,1,1:4,3,3,1:2,2,1,1,1,1,1:1,1,1,1,1,1,1:6,1,1,1,1:6,11:1,1,1,1:1,1,1,3,2,2:1,1,3,3,3:6,1,1:6,13:6,11-10:2,2,3:5,2,3:5,2,3:2,2,3:1,10:3:1,1:7:1,1,2:5,2,2:4,1,1,2:2,5,2,2:2,1,1,2:5,2,2:4,1,1,2:2,5,1,2:2,1,2,2:1,7:1,1,1,1
20x15	Hedgehog	2,5:4,5:1,1,2:5,1,6:4,1,3,1,2:3,1,1,1,2,2:2,3,2,1,1,3:1,2,4,2,1,1,1:2,2,1,1,1,1,1,2:5,2,3,1:1,5:3,1,1,2,2:5,2,3,2:1,1,1,1,1:1,4,4-1:5,2:4,1,4:3,1,2:2,3,1:1,2,2:2,2,1:2,3:4,1,1,2:1,1,5,1,1:2,3,2,1:1,1,1,3,2:1,3,1,2:2,1,1,3:5,2,1,1,1:3,1,4,1:1,5,6:1,2,1,3,1:1,2,1,2:1,1,1,1
20x15	1204	1:2,1:2,1,1,1,1,1,1:14:14:6,5,5:5,6:2,7:2,2,3,2:3:3:3:3:2:2-2,1:2,1:2,1:3:4:1,3,1:3,3:5:5:4,1:5,2:3,1,2:3,3,2:5,3:10:8:6:3:2:1
15x20	1260	1:3:3,1:3,3:2,4:2,4:2,4:2,2,2,2:4,3,4:3,1,3,1,3:2,9,2:1,2,5,2,1:1,1,1,1:1,5,1:7:9:3,3,3:2,3,2:3:1-3:3,1:3,1,1,2:2,2,3:4,3,3:6,6:3,5,6:3,3,4,7:1,9,6:6,6:4,3,3:2,2,3:3,1,1,2:3,1:3
20x15	1290	3,2:4,1:4,4:5,1:1,1,1,7:7,4:1,2:4,2,4:2,1,1,4,2,2:2,2,3,1,2,2,2:1,4,4,1,2,1,1:1,1,2,1,1,1,4,1:2,2,2,2,2,2,2:2,2,2,2:4,4-4:3,2,2:1,1,2,2,2:1,3,1,2,1,1:2,1,1,6,1:8,2,2:2,1,2,2:2,2,4:1,1,3:1,1,3:1,3,1:1,1,2:1,1,1,2,4:1,5,2,2:2,1,2,2,2:1,1,4,1:1,1,1,2,1:2,2,2:2,2:4
20x15	1524	1,2,5:1,7,2:1,1,1,1,1,2,1:3,1,1:1,8:5,1,1:1,3,1,1,1,1,2:1,1,1,1,1,1:1,12:1,1:1,1:17:1,1:2,1:14-3:1,1,2:1,1,2:6,1,3:1,1,1,2:1,1,1,1:1,1,1:4,1,1:1,1,1,1:3,1,1,1,1:1,1,1,1,1:4,1,1,1,1:2,1,1,1,1:3,1,3,1,1:2,1,1,1,1:2,4,1,1:2,1,1,1:1,3,1,2:2,1,1,2:3,3
20x15	1570	3:7:5,5:6,6:8,8:17:17:17:9,1,3:1,5,1,3:1,13:1,5,1,3:1,5,1,3:1,13:20-1:11:6,1:6,1:7,1:13:14:14:3,11:2,10:3,4,1,2:7,1,2:14:6,1,2:6,1,2:12:12:11:1:1
20x15	Teacher	9,5:1,1,1,3:1,1,2,1,2:1,1,1,1,2:1,1,2,1,1:1,1,2,1,2:1,2,2,5:1,2,1,2,6:1,2,1,1,2,6:1,4,2,8:1,1,2,3:9,6:3:2,1:1,2-12:1,1:1,6,1:1,4,1:1,1,1:1,2,3,1:1,2,1:1,2,1:4,6:1,1:1,1:1,1:1,1:4,1,1:1,1,1,3,1:1,9:1,1,8:2,8:10,1:3,4,2
