3x3	1	3:1:1,1-3:1:1,1
4x6	Tiny Goat	3:2:1,1:2:3:1,1-1,1,2:1,2:6:1
5x5	?	1,1:5:5:3:1-2:4:4:4:2
5x5	Camel	2:2,1:4:1,1:1,1-4:2:3:3:1
5x5	Cat	1,1:3:5:4:5-3:3:5:4:3,1
5x5	Watch	3:1,1,1:1,3:1,1:3-3:1,1:3,1:1,1,1:3
5x5	Hourglass	5:3:1:1,1:5-1,1:2,2:3,1:2,2:1,1
5x5	Bomb	2:1,1:3:1,1:3-3:2,1:1,3:1:1
5x5	Rabbit	2:2:4:4:4-1:1,3:1,3:4:2,1
5x5	Fountain	1,1:1,1,1:1:5:3-1,1:1,2:4:1,2:1,1
5x5	Baby carriage	2:2,1:4:2:1,1-2,1:4:1,2:1,1:1
5x5	Tetris	1:2:1,1,1:1,2:2,2-3:1,1:3:2:3
5x5	Camel	1:3,1:4:1,1:1,1-4:3:4:1:1
5x5	Dog	2:1,2:4:1,1:1,1-2:3:1:5:2
5x5	Chicken	1:2,2:3:3:1-1:4:3:3:1
5x5	Candle	2:2:1,1:2,2:3-2:2:1:2,2:4
6x7	Cat	1:2:2,1:2,1:3,1:4:1,3-2,1:6:4:3:1,2:2
7x7	Clock	2,2:1,3,1:1,1,1:1,3:1,1:3:1,1-2:1,3,1:1,1:3,1:1,1,1:1,3,1:2
7x7	Car	5:1,1:1,2:7:1,3,1:7:1,1-3:4,2:1,3:1,3:1,4:4,2:3
7x7	House	1:3:2,2:2,2:5:1,1,1:1,3-1:5:2,1:2,3:2,1,1:5:1
7x8	Cat	1,1:3:3:4:6:5:1,1,3:6-3,1:4,1:8:3,1:5:4:4
7x8	Flask	1,3:1,1:1,1:5:2,4:7:7:5-3:1,5:3,3:1,5:8:1,5:3
8x7	Bunny	1:1:2,2:1,5:8:6:2,3-2:1,1,1:7:3:5:5:4:2
8x8	Nibbler	5:1,1,4:8:2,1,1:2:2,1:8:3-7:1,6:3,2:1,2,2:3,1:2,2:2,1:3,1
8x9	Birdie	3:1,2:4:2,2:1,3:6:1,1:6:2-1,1:2,1:1,4:2,1,2:3,4:1,4,1:5:1
9x9	Kitten	1,1,1:5,1:1,1,1,1:5,1:6,1:7:6:1,3:2,4-4:1,2,1:8:1,4:7,1:5:5:4:6
9x9	Propeller	1,5:2,1,1:3,1,1:6:4,4:6:1,1,3:1,1,2:5,1-5,1:4,2:3,1,1:3,1:4,4:1,3:1,1,3:2,4:1,5
9x9	Beer mug	1,1:1,1,3:2,1,3:1,1,1,1,1:1,1,1:1,1,1:8:7:7-9:1,3:1,1,3:1,3:1,1,3:2,3:9:1,1:3
9x9	Kitten	1,1,1:5,1:1,1,1,1:5,1:6,1:7:6:1,3:2,4-4:1,2,1:8:1,4:7,1:5:5:4:6
